Away,Pace,eFG%,TOV%,ORB%,FT/FGA,ORtg,Home,Pace,eFG%,TOV%,ORB%,FT/FGA,ORtg
--------------------------------------------------------------------------
BOS,94.4,.558,12.8,18.9,.286,114.4,NYK,94.4,.464,7.7,30.4,.144,110.1
MIA,99.3,.517,10.8,22.0,.213,111.7,BOS,99.3,.558,12.7,32.0,.137,119.8
BOS,101.8,.593,13.9,34.1,.049,123.8,WAS,101.8,.511,13.2,23.4,.207,105.1
IND,104.5,.480,7.8,14.8,.069,99.5,BOS,104.5,.674,9.3,32.4,.284,148.3
BOS,99.7,.561,9.7,23.8,.256,124.4,BRK,99.7,.515,4.4,20.0,.110,114.3
BOS,99.5,.451,13.0,22.0,.283,99.2,MIN,99.5,.594,19.3,15.0,.153,103.7
BOS,99.4,.478,10.8,17.0,.176,103.6,PHI,99.4,.489,10.6,26.1,.137,106.6
BRK,93.1,.535,9.7,20.5,.188,114.9,BOS,93.1,.537,6.2,31.5,.213,129.9
TOR,97.0,.440,7.5,14.6,.154,97.0,BOS,97.0,.634,11.6,14.3,.093,120.7
NYK,84.2,.513,8.2,29.3,.215,116.3,BOS,84.2,.627,11.3,24.2,.190,135.3
BOS,91.1,.580,8.5,27.9,.170,128.4,PHI,91.1,.524,8.7,23.3,.212,117.4
BOS,97.8,.543,9.4,18.2,.087,110.4,TOR,97.8,.552,12.2,12.2,.103,107.4
BOS,91.8,.532,16.2,24.3,.260,111.1,MEM,91.8,.479,8.3,28.0,.095,108.9
BOS,96.3,.515,10.6,21.6,.186,110.9,CHO,96.3,.505,10.4,31.5,.154,113.7
MIL,101.6,.510,7.7,25.0,.129,114.2,BOS,101.6,.625,14.1,10.5,.167,117.2
BOS,98.5,.454,13.2,10.3,.355,97.4,ORL,98.5,.571,16.0,32.5,.188,114.7
ATL,96.6,.517,13.5,21.6,.136,106.6,BOS,96.6,.511,10.4,36.0,.168,117.0
CHI,96.6,.483,7.6,18.0,.111,100.4,BOS,96.6,.639,14.4,28.2,.100,128.4
PHI,101.8,.543,13.3,29.4,.181,116.9,BOS,101.8,.610,17.7,27.0,.403,122.8
BOS,102.2,.536,14.3,27.7,.082,109.6,IND,102.2,.559,5.5,14.0,.181,119.3
