TOR vs. NOP,10/22/2019,W,265,130,42,103,40.8,14,40,35.0,32,38,84.2,16,41,57,23,7,3,17,24,8,
NOP @ TOR,10/22/2019,L,265,122,43,102,42.2,19,45,42.2,17,20,85.0,16,37,53,30,4,9,19,34,-8,
LAC vs. LAL,10/22/2019,W,240,112,42,81,51.9,11,31,35.5,17,24,70.8,11,34,45,24,8,5,14,25,10,
LAL @ LAC,10/22/2019,L,240,102,37,85,43.5,13,33,39.4,15,21,71.4,9,32,41,20,4,7,15,24,-10,
UTA vs. OKC,10/23/2019,W,240,100,40,90,44.4,6,24,25.0,14,20,70.0,11,38,49,15,4,5,11,31,5,
SAS vs. NYK,10/23/2019,W,240,120,42,83,50.6,7,21,33.3,29,36,80.6,10,41,51,22,6,5,21,18,9,
NYK @ SAS,10/23/2019,L,240,111,44,94,46.8,10,30,33.3,13,18,72.2,5,34,39,24,16,1,14,32,-9,
WAS @ DAL,10/23/2019,L,240,100,37,93,39.8,11,41,26.8,15,18,83.3,11,36,47,26,6,3,17,32,-8,
DAL vs. WAS,10/23/2019,W,240,108,35,76,46.1,11,36,30.6,27,33,81.8,5,41,46,17,6,5,20,22,8,
PHI vs. BOS,10/23/2019,W,240,107,37,85,43.5,7,29,24.1,26,36,72.2,12,50,62,24,6,7,17,34,14,
BOS @ PHI,10/23/2019,L,240,93,33,90,36.7,7,26,26.9,20,34,58.8,10,31,41,18,4,2,11,29,-14,
SAC @ PHX,10/23/2019,L,240,95,34,87,39.1,10,29,34.5,17,26,65.4,12,35,47,17,5,5,27,24,-29,
CLE @ ORL,10/23/2019,L,240,85,33,88,37.5,9,34,26.5,10,15,66.7,10,44,54,20,8,2,16,15,-9,
ORL vs. CLE,10/23/2019,W,240,94,37,86,43.0,9,30,30.0,11,19,57.9,7,39,46,24,12,4,13,18,9,
CHA vs. CHI,10/23/2019,W,240,126,45,88,51.1,23,44,52.3,13,16,81.3,9,32,41,28,3,4,19,18,1,
IND vs. DET,10/23/2019,L,240,110,41,89,46.1,8,21,38.1,20,24,83.3,10,26,36,26,8,6,15,28,-9,
DET @ IND,10/23/2019,W,240,119,41,78,52.6,11,24,45.8,26,33,78.8,10,35,45,26,5,6,18,21,9,
MIN @ BKN,10/23/2019,W,265,127,46,108,42.6,13,43,30.2,22,28,78.6,12,40,52,23,9,4,13,22,1,
BKN vs. MIN,10/23/2019,L,265,126,48,101,47.5,15,34,44.1,15,26,57.7,10,38,48,19,8,9,16,30,-1,
PHX vs. SAC,10/23/2019,W,240,124,49,98,50.0,11,33,33.3,15,18,83.3,9,35,44,31,13,9,14,25,29,
POR vs. DEN,10/23/2019,L,240,100,36,87,41.4,7,28,25.0,21,23,91.3,13,35,48,13,9,4,20,25,-8,
DEN @ POR,10/23/2019,W,240,108,34,81,42.0,18,32,56.3,22,27,81.5,11,34,45,24,11,4,20,23,8,
MEM @ MIA,10/23/2019,L,240,101,38,89,42.7,5,32,15.6,20,30,66.7,9,31,40,22,9,7,24,31,-19,
MIA vs. MEM,10/23/2019,W,240,120,40,85,47.1,7,18,38.9,33,39,84.6,11,40,51,18,9,8,21,33,19,
OKC @ UTA,10/23/2019,L,240,95,32,83,38.6,10,27,37.0,21,31,67.7,7,41,48,15,5,4,16,23,-5,
CHI @ CHA,10/23/2019,L,240,125,49,105,46.7,9,30,30.0,18,22,81.8,20,29,49,25,11,4,12,20,-1,
MIL @ HOU,10/24/2019,W,240,117,46,99,46.5,16,46,34.8,9,18,50.0,6,47,53,31,7,10,11,27,6,
ATL @ DET,10/24/2019,W,240,117,44,86,51.2,11,31,35.5,18,21,85.7,8,34,42,27,9,2,13,15,17,
DET vs. ATL,10/24/2019,L,240,100,35,85,41.2,10,37,27.0,20,22,90.9,9,30,39,20,6,5,14,20,-17,
HOU vs. MIL,10/24/2019,L,240,111,33,90,36.7,16,48,33.3,29,39,74.4,10,47,57,25,6,6,14,25,-6,
GSW vs. LAC,10/24/2019,L,240,122,39,99,39.4,15,42,35.7,29,30,96.7,15,27,42,27,7,0,13,21,-19,
LAC @ GSW,10/24/2019,W,240,141,50,80,62.5,18,32,56.3,23,30,76.7,3,36,39,33,7,5,20,24,19,
BKN vs. NYK,10/25/2019,W,240,113,37,78,47.4,16,37,43.2,23,34,67.6,11,35,46,21,11,2,26,26,4,
OKC vs. WAS,10/25/2019,L,240,85,33,83,39.8,5,23,21.7,14,22,63.6,7,42,49,14,7,6,19,18,-12,
CHI @ MEM,10/25/2019,W,240,110,40,93,43.0,12,42,28.6,18,24,75.0,9,36,45,18,14,7,14,21,8,
MEM vs. CHI,10/25/2019,L,240,102,39,94,41.5,10,29,34.5,14,20,70.0,15,41,56,24,8,6,18,21,-8,
WAS @ OKC,10/25/2019,W,240,97,39,97,40.2,11,41,26.8,8,10,80.0,8,39,47,21,9,6,15,21,12,
BOS vs. TOR,10/25/2019,W,240,112,42,109,38.5,13,38,34.2,15,16,93.8,21,35,56,21,10,8,10,20,6,
DEN vs. PHX,10/25/2019,W,265,108,36,92,39.1,7,27,25.9,29,36,80.6,8,37,45,21,7,12,14,26,1,
POR @ SAC,10/25/2019,W,240,122,46,85,54.1,11,30,36.7,19,22,86.4,5,35,40,23,8,5,16,23,10,
PHX @ DEN,10/25/2019,L,265,107,34,86,39.5,8,28,28.6,31,32,96.9,10,44,54,25,5,1,18,35,-1,
SAC vs. POR,10/25/2019,L,240,112,37,87,42.5,15,37,40.5,23,27,85.2,13,30,43,17,10,2,17,26,-10,
NYK @ BKN,10/25/2019,L,240,109,38,81,46.9,17,25,68.0,16,28,57.1,9,30,39,17,14,4,26,31,-4,
UTA @ LAL,10/25/2019,L,240,86,29,70,41.4,8,25,32.0,20,21,95.2,3,37,40,19,8,2,23,25,-9,
LAL vs. UTA,10/25/2019,W,240,95,34,86,39.5,8,26,30.8,19,24,79.2,11,31,42,19,14,9,14,21,9,
DAL @ NOP,10/25/2019,W,240,123,45,93,48.4,14,40,35.0,19,26,73.1,12,37,49,23,8,7,11,19,7,
NOP vs. DAL,10/25/2019,L,240,116,45,98,45.9,15,41,36.6,11,15,73.3,12,36,48,30,6,3,14,22,-7,
CHA vs. MIN,10/25/2019,L,240,99,37,84,44.0,12,29,41.4,13,26,50.0,9,33,42,26,6,5,20,29,-22,
MIN @ CHA,10/25/2019,W,240,121,43,91,47.3,12,38,31.6,23,31,74.2,13,39,52,30,11,6,17,21,22,
TOR @ BOS,10/25/2019,L,240,106,37,78,47.4,18,36,50.0,14,17,82.4,5,41,46,22,2,6,23,28,-6,
MIA @ MIL,10/26/2019,W,265,131,46,101,45.5,16,44,36.4,23,36,63.9,8,46,54,33,7,3,18,30,5,
MIL vs. MIA,10/26/2019,L,265,126,41,94,43.6,17,54,31.5,27,35,77.1,5,42,47,22,8,4,18,32,-5,
ORL @ ATL,10/26/2019,L,240,99,35,99,35.4,5,31,16.1,24,26,92.3,17,29,46,15,8,7,10,15,-4,
ATL vs. ORL,10/26/2019,W,240,103,43,84,51.2,9,30,30.0,8,15,53.3,9,43,52,22,5,9,18,26,4,
SAS vs. WAS,10/26/2019,W,240,124,50,108,46.3,10,28,35.7,14,17,82.4,21,32,53,29,6,7,9,19,2,
PHI @ DET,10/26/2019,W,240,117,42,87,48.3,13,34,38.2,20,30,66.7,6,32,38,30,14,3,22,26,6,
HOU vs. NOP,10/26/2019,W,240,126,43,94,45.7,13,45,28.9,27,30,90.0,9,36,45,27,7,4,19,22,3,
WAS @ SAS,10/26/2019,L,240,122,47,95,49.5,16,34,47.1,12,17,70.6,8,33,41,30,3,8,13,15,-2,
IND @ CLE,10/26/2019,L,240,99,39,87,44.8,10,28,35.7,11,13,84.6,6,30,36,23,7,3,17,27,-11,
DET vs. PHI,10/26/2019,L,240,111,41,76,53.9,8,19,42.1,21,36,58.3,5,30,35,20,11,7,23,28,-6,
CLE vs. IND,10/26/2019,W,240,110,40,80,50.0,11,31,35.5,19,29,65.5,12,32,44,23,9,7,19,20,11,
LAC @ PHX,10/26/2019,L,240,122,40,87,46.0,11,32,34.4,31,39,79.5,10,31,41,20,8,4,12,32,-8,
UTA vs. SAC,10/26/2019,W,240,113,44,78,56.4,18,37,48.6,7,12,58.3,2,41,43,28,6,1,21,22,32,
PHX vs. LAC,10/26/2019,W,240,130,43,86,50.0,17,43,39.5,27,34,79.4,9,40,49,32,9,3,16,34,8,
BOS @ NYK,10/26/2019,W,240,118,42,93,45.2,15,41,36.6,19,29,65.5,13,33,46,24,14,9,13,26,23,
NYK vs. BOS,10/26/2019,L,240,95,31,82,37.8,7,27,25.9,26,34,76.5,16,39,55,15,7,4,24,26,-23,
SAC @ UTA,10/26/2019,L,240,81,30,81,37.0,7,26,26.9,14,17,82.4,6,25,31,16,5,3,18,19,-32,
TOR @ CHI,10/26/2019,W,240,108,38,82,46.3,15,42,35.7,17,18,94.4,10,49,59,27,9,12,24,25,24,
CHI vs. TOR,10/26/2019,L,240,84,29,97,29.9,9,35,25.7,17,25,68.0,12,33,45,18,9,2,15,22,-24,
NOP @ HOU,10/26/2019,L,240,123,46,100,46.0,18,50,36.0,13,16,81.3,9,33,42,27,9,2,17,30,-3,
MIN vs. MIA,10/27/2019,W,240,116,39,91,42.9,13,45,28.9,25,33,75.8,14,32,46,24,12,1,16,17,7,
OKC vs. GSW,10/27/2019,W,240,120,44,78,56.4,15,32,46.9,17,22,77.3,8,42,50,24,8,5,24,26,28,
GSW @ OKC,10/27/2019,L,240,92,30,92,32.6,5,33,15.2,27,31,87.1,12,27,39,17,13,2,15,15,-28,
DAL vs. POR,10/27/2019,L,240,119,37,94,39.4,13,50,26.0,32,41,78.0,12,34,46,27,7,3,12,22,-2,
POR @ DAL,10/27/2019,W,240,121,45,87,51.7,9,22,40.9,22,26,84.6,7,41,48,13,6,4,16,30,2,
MEM vs. BKN,10/27/2019,W,265,134,50,103,48.5,14,33,42.4,20,25,80.0,8,41,49,33,9,10,12,29,1,
BKN @ MEM,10/27/2019,L,265,133,44,101,43.6,15,45,33.3,30,37,81.1,11,42,53,28,6,5,17,22,-1,
MIA @ MIN,10/27/2019,L,240,109,42,85,49.4,15,36,41.7,10,15,66.7,7,34,41,25,7,9,23,23,-7,
