Rk,Team,Age,W,L,PW,PL,MOV,SOS,SRS,ORtg,DRtg,NRtg,Pace,FTr,3PAr,TS%,eFG%,TOV%,ORB%,FT/FGA,eFG%,TOV%,DRB%,FT/FGA,Arena,Attend.,Attend./G,
Boston Celtics,28.4,43,12,43,12,10.11,-0.06,10.05,121.7,111.5,+10.2,98.2,.240,.473,.604,.571,11.2,24.6,.194,.520,10.4,76.6,.155,TD Garden,555,524,19,156,
Minnesota Timberwolves,27.2,39,16,39,16,7.25,-0.02,7.24,116.2,108.8,+7.4,97.5,.282,.379,.601,.565,13.5,23.4,.221,.512,12.6,77.4,.201,Target Center,414,552,17,273,
Oklahoma City Thunder,23.2,37,17,38,16,7.19,0.07,7.26,120.4,113.2,+7.2,99.6,.248,.382,.612,.575,11.2,20.8,.207,.529,13.5,72.2,.211,Paycom Center,465,224,17,231,
Cleveland Cavaliers,26.3,36,17,36,17,5.68,-0.70,4.98,116.8,111.0,+5.8,98.0,.233,.418,.588,.558,12.1,25.1,.180,.523,12.5,77.0,.199,Rocket Mortgage Fieldhouse,540,551,19,432,
Los Angeles Clippers,30.7,36,17,35,18,5.57,-0.07,5.50,120.6,114.9,+5.7,97.9,.268,.382,.607,.569,11.7,24.8,.218,.537,12.0,74.6,.192,Crypto.com Arena,486,232,18,701,
New York Knicks,26.2,33,22,35,20,4.55,-0.43,4.12,118.7,114.0,+4.7,96.4,.259,.395,.576,.540,11.7,29.5,.204,.547,12.0,77.0,.177,Madison Square Garden (IV),532,026,19,705,
Philadelphia 76ers,28.2,32,22,34,20,4.39,-0.91,3.48,119.3,114.9,+4.4,98.8,.296,.352,.584,.538,10.6,25.4,.245,.539,12.8,73.8,.220,Wells Fargo Center,559,844,19,994,
New Orleans Pelicans,25.9,33,22,34,21,4.24,-0.11,4.13,117.9,113.6,+4.3,98.6,.276,.365,.591,.558,11.8,25.4,.211,.541,12.7,76.8,.196,Smoothie King Center,441,989,17,000,
Phoenix Suns,29.1,33,22,33,22,3.25,-1.17,2.09,118.5,115.2,+3.3,98.7,.294,.367,.608,.568,13.4,24.6,.238,.538,11.5,74.6,.185,Footprint Center,495,059,17,071,
Denver Nuggets,27.0,36,19,33,22,3.13,0.32,3.45,117.9,114.7,+3.2,96.7,.233,.351,.582,.554,11.4,26.1,.176,.534,11.2,75.7,.204,Ball Arena,511,587,19,676,
Milwaukee Bucks,29.9,35,21,33,23,3.18,-0.79,2.39,119.8,116.6,+3.2,101.3,.287,.425,.607,.573,11.4,21.8,.220,.540,10.5,76.5,.198,Fiserv Forum,528,885,17,657,
Golden State Warriors,28.4,27,26,29,24,1.55,0.80,2.35,118.7,117.2,+1.5,99.7,.240,.433,.589,.557,12.4,27.8,.189,.543,11.2,76.0,.216,Chase Center,505,792,18,064,
Dallas Mavericks,26.4,32,23,30,25,1.42,0.10,1.51,118.2,116.8,+1.4,100.4,.262,.449,.593,.562,11.1,22.5,.198,.552,12.0,73.8,.188,American Airlines Center,605,530,20,184,
Indiana Pacers,25.3,31,25,30,26,1.43,-0.36,1.07,120.9,119.5,+1.4,102.3,.230,.388,.609,.582,11.7,23.8,.178,.564,12.3,73.7,.235,Gainbridge Fieldhouse,457,983,16,357,
