Rk,Team,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,
Indiana Pacers,56,240.0,46.8,92.2,.508,13.6,35.8,.381,33.2,56.4,.588,16.4,21.2,.777,10.0,30.6,40.6,30.9,7.8,5.8,13.4,21.9,123.7,
Milwaukee Bucks,56,241.3,44.1,89.3,.494,14.2,37.9,.375,29.9,51.4,.582,19.7,25.6,.770,9.4,34.7,44.0,26.7,6.9,5.2,12.9,20.1,122.0,
Atlanta Hawks,55,241.8,43.6,93.5,.466,13.7,38.1,.361,29.8,55.4,.539,20.4,25.1,.813,13.0,31.9,44.9,26.2,7.6,4.5,13.4,18.9,121.3,
Oklahoma City Thunder,54,241.9,44.5,89.0,.500,13.4,34.0,.393,31.2,55.1,.566,18.4,22.1,.832,8.6,32.5,41.1,27.3,8.1,6.7,12.5,19.5,120.8,
Boston Celtics,55,242.3,43.5,90.3,.481,16.2,42.7,.380,27.2,47.6,.572,17.5,21.6,.808,10.7,36.6,47.3,26.2,6.4,6.5,12.5,17.1,120.7,
Golden State Warriors,53,242.8,43.6,91.9,.474,15.1,39.8,.381,28.5,52.2,.546,17.4,22.1,.787,12.4,34.3,46.6,29.0,6.7,4.1,14.4,20.6,119.7,
Dallas Mavericks,55,240.0,42.9,89.8,.478,15.0,40.3,.373,27.9,49.5,.565,17.7,23.5,.755,9.9,32.3,42.2,25.6,6.6,4.5,12.5,18.9,118.7,
Sacramento Kings,54,242.3,43.9,90.9,.482,14.8,40.0,.370,29.1,50.9,.571,15.9,21.8,.732,10.3,33.0,43.3,28.6,7.2,4.0,13.5,20.2,118.4,
Philadelphia 76ers,54,240.9,42.5,89.6,.475,11.3,31.6,.359,31.2,58.0,.537,22.0,26.5,.828,11.1,32.1,43.2,24.9,8.6,5.8,11.9,20.8,118.3,
Los Angeles Clippers,53,240.5,43.0,87.2,.494,13.2,33.3,.395,29.9,53.9,.555,19.0,23.3,.816,10.2,32.8,43.0,26.0,8.0,5.2,12.9,19.2,118.3,
Utah Jazz,56,242.2,42.8,90.9,.471,13.3,37.1,.359,29.5,53.8,.549,19.1,23.2,.822,12.9,33.8,46.7,28.4,6.7,6.0,15.8,19.3,118.0,
Phoenix Suns,55,241.4,42.7,85.6,.499,11.9,31.4,.378,30.8,54.2,.568,20.4,25.1,.810,9.7,33.5,43.2,26.8,7.6,6.1,14.9,18.5,117.6,
Los Angeles Lakers,56,241.8,43.2,87.5,.494,11.4,30.7,.370,31.9,56.8,.561,19.2,24.7,.775,8.2,34.5,42.7,28.5,7.9,5.6,13.8,16.3,117.0,
New Orleans Pelicans,55,240.5,42.9,87.8,.489,12.1,32.1,.377,30.8,55.7,.553,18.5,24.2,.766,10.9,33.3,44.2,27.1,8.4,4.8,13.2,19.2,116.5,
Cleveland Cavaliers,53,240.9,42.8,88.6,.483,13.4,37.1,.361,29.4,51.6,.570,16.0,20.7,.772,10.7,34.2,45.0,27.3,7.6,4.8,13.4,18.6,114.9,
Washington Wizards,54,240.0,43.3,91.3,.474,12.1,34.6,.351,31.1,56.6,.550,16.0,20.9,.768,9.2,31.5,40.7,28.1,7.8,5.4,13.9,20.2,114.8,
New York Knicks,55,240.0,41.7,89.2,.467,13.0,35.2,.368,28.7,54.0,.532,18.2,23.1,.787,12.7,33.1,45.9,23.7,7.3,3.9,13.1,18.1,114.5,
Minnesota Timberwolves,55,241.4,41.4,84.3,.490,12.6,32.0,.393,28.8,52.3,.550,18.7,23.8,.785,9.2,34.7,43.9,26.4,7.5,5.9,14.8,19.5,114.0,
Denver Nuggets,55,240.0,43.4,88.8,.489,11.5,31.1,.368,31.9,57.6,.554,15.6,20.7,.756,11.1,33.0,44.1,28.6,6.7,5.3,12.6,18.5,113.9,
Toronto Raptors,55,241.8,42.8,89.9,.476,11.6,32.7,.355,31.2,57.2,.545,16.7,22.3,.748,11.4,32.2,43.6,29.2,7.6,4.9,13.5,18.5,113.9,
Brooklyn Nets,54,241.4,41.8,90.8,.460,13.8,37.6,.368,28.0,53.2,.525,15.9,21.0,.759,11.7,32.8,44.4,26.8,6.9,5.4,12.6,19.1,113.4,
Houston Rockets,54,242.3,41.6,90.0,.462,12.0,34.2,.351,29.6,55.9,.529,18.2,23.6,.772,11.0,34.7,45.7,24.8,7.5,4.4,12.9,21.4,113.3,
Detroit Pistons,54,241.4,42.2,89.6,.472,11.2,31.1,.360,31.1,58.5,.531,17.2,22.1,.778,11.3,32.4,43.7,26.5,6.0,4.9,15.5,22.0,112.9,
San Antonio Spurs,55,240.9,41.9,91.1,.459,12.4,36.5,.339,29.5,54.7,.539,15.7,20.1,.783,10.2,33.0,43.2,29.3,7.3,6.1,14.8,17.9,111.8,
Chicago Bulls,55,243.6,41.7,89.2,.467,11.8,32.7,.361,29.9,56.5,.529,16.7,21.1,.791,11.0,32.4,43.5,24.3,7.7,5.2,12.4,19.3,111.8,
Orlando Magic,55,241.8,40.7,86.1,.473,10.9,31.3,.348,29.8,54.8,.544,19.4,25.6,.756,11.0,31.9,42.9,24.9,8.1,5.2,14.6,21.0,111.7,
Miami Heat,55,240.5,39.7,85.8,.463,12.4,33.5,.372,27.3,52.3,.521,18.8,22.8,.824,9.6,32.6,42.2,25.9,7.3,3.1,13.0,18.1,110.6,
Charlotte Hornets,54,240.9,40.9,88.7,.461,12.0,33.1,.362,28.9,55.6,.519,15.0,19.0,.788,10.1,31.0,41.1,24.9,6.5,4.7,13.8,19.1,108.6,
Portland Trail Blazers,54,242.8,39.2,89.3,.440,11.8,33.4,.353,27.4,55.9,.491,17.6,22.1,.796,11.9,29.5,41.4,22.6,7.7,4.6,14.9,20.5,107.9,
Memphis Grizzlies,56,240.9,38.8,88.0,.441,13.7,39.2,.350,25.1,48.8,.514,15.7,20.7,.761,9.9,31.8,41.7,25.4,7.8,6.2,14.6,19.6,107.1,
League Average,55,241.3,42.5,89.2,.476,12.8,35.0,.367,29.6,54.2,.546,17.8,22.7,.784,10.6,32.9,43.5,26.7,7.4,5.2,13.6,19.4,115.5,
